entrada,fuente,motor_direccion,motor_estado,motor_confianza,motor_advertencias,direccion_esperada,revisado,notas
CL 9 SUR #32 87 APTO 801,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 9 SUR # 32 - 87,OK,0.97,placa sin guion | descartado: 'apto 801',CL 9 SUR # 32 - 87,si,
Carrera 79a # 30-38 Casa 1 piso,raw.csv,CR 79A # 30 - 38,OK,1.0,descartado: 'casa 1 piso',CR 79A # 30 - 38,si,
cra 17 con calle 10 30 de mayo,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 17 # 10 - 30,OK,0.97,placa sin guion | descartado: 'de mayo',CR 17 # 10 - 30,si,
Carrera42a#85-114 Casa primer piso,raw.csv,CR 42A # 85 - 114,OK,1.0,descartado: 'casa primer piso',CR 42A # 85 - 114,si,
Cra 50a #107-37,raw.csv,CR 50A # 107 - 37,OK,1.0,,CR 50A # 107 - 37,si,
Cra 47 # 123-55 Interior 124,raw.csv,CR 47 # 123 - 55,OK,1.0,descartado: 'interior 124',CR 47 # 123 - 55,si,
Cll 106A 43B62 barrio popular 1 Casa planta baja punto de referencia panderia deli pan,raw.csv,CL 106A # 43B - 62,OK,0.97,placa sin guion | descartado: 'barrio popular 1 casa planta baja punto de referencia panderia deli pan',CL 106A # 43B - 62,si,
Calle Calle 101 #50c27 Apt 302,raw.csv,CL 101 # 50C - 27,OK,0.97,placa sin guion | descartado: 'apt 302',CL 101 # 50C - 27,si,
CL 79 SUR #52 178 INT.101,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 79 SUR # 52 - 178,OK,0.97,placa sin guion | descartado: 'int.101',CL 79 SUR # 52 - 178,si,
Carrera Carrera 30#102a-57 santo domingo sabio Piso 3 puerta izquierda,raw.csv,CR 30 # 102A - 57,OK,1.0,descartado: 'santo domingo sabio piso 3 puerta izquierda',CR 30 # 102A - 57,si,
CR 48B#99 SUR 59 BG 14,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 48B # 99 SUR - 59,OK,0.97,placa sin guion | descartado: 'bg 14',CR 48B # 99 SUR - 59,si,
Cra 47 #97-50 Piso 3,raw.csv,CR 47 # 97 - 50,OK,1.0,descartado: 'piso 3',CR 47 # 97 - 50,si,
Carrera 24f calle 90d #137 apartamento 102 Brr María cano carambolas por la 27,raw.csv,CR 24F # 90D - 137,PARCIAL,0.8,confianza 0.8 menor al umbral 0.85 | marcador '#' antes de la placa | descartado: 'apartamento 102 brr maria cano carambolas por la 27',,si,
"Calle Santa María la torre, calle 108 fb #28 b 43 Barrio Santa María la torre, casa tercer piso",raw.csv,CL 108FB # 28B - 43,OK,0.95,"placa sin guion | texto antes de la dirección | descartado: 'calle santa maria la torre' | descartado: 'barrio santa maria la torre, casa tercer piso'",CL 108FB # 28B - 43,si,
CL 83C SUR #55 44 LOCAL 07,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 83C SUR # 55 - 44,OK,0.97,placa sin guion | descartado: 'local 07',CL 83C SUR # 55 - 44,si,
Calle 77 sur N° 56C 09,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 77 SUR # 56C - 09,OK,0.97,placa sin guion,CL 77 SUR # 56C - 09,si,
carrera 51c #125-19 playon de los comuneros tercer piso,raw.csv,CR 51C # 125 - 19,OK,1.0,descartado: 'playon de los comuneros tercer piso',CR 51C # 125 - 19,si,
Carrera Carrera 39 #47-33 Casa reja negra,raw.csv,CR 39 # 47 - 33,OK,1.0,descartado: 'casa reja negra',CR 39 # 47 - 33,si,
Calle 79 Sur Nro. 61-56,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 79 SUR # 61 - 56,OK,1.0,,CL 79 SUR # 61 - 56,si,
Carrera Carrera 42c 118-32 Casa,raw.csv,CR 42C # 118 - 32,OK,1.0,descartado: 'casa',CR 42C # 118 - 32,si,
CR 77A#49 14 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 77A # 49 - 14,OK,0.97,placa sin guion | descartado: 'medellin',CR 77A # 49 - 14,si,
cta94#57c65(1170) casa,raw.csv,,FALLO,0.0,descartado: '(1170)',CR 94 # 57C – 65,si,
CL 47D#79 33,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 47D # 79 - 33,OK,0.97,placa sin guion,CL 47D # 79 - 33,si,
calle 103c #49--41 casa,raw.csv,CL 103C # 49 - 41,OK,1.0,descartado: 'casa',CL 103C # 49 - 41,si,
CR 50#95 SUR 104,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 95 SUR - 104,OK,0.97,placa sin guion,CR 50 # 95 SUR - 104,si,
CL 87 SUR #65B 753 INT 152,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 87 SUR # 65B - 753,OK,0.97,placa sin guion | descartado: 'int 152',CL 87 SUR # 65B - 753,si,
Carrera 49a #92 -108 Agencia de viajes viaja en antioquia,raw.csv,CR 49A # 92 - 108,OK,1.0,descartado: 'agencia de viajes viaja en antioquia',CR 49A # 92 - 108,si,
CL 49 51-23,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 49 # 51 - 23,OK,1.0,,CL 49 # 51 - 23,si,
CR 48B#99 SUR 59 BODEGA 08 PISO 2 SAN BARTOLOME,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 48B # 99 SUR - 59,OK,0.97,placa sin guion | descartado: 'bodega 08 piso 2 san bartolome',CR 48B # 99 SUR - 59,si,
"Calle107 # 49a41 Casa, primer piso",raw.csv,CL 107 # 49A - 41,OK,0.97,"placa sin guion | descartado: 'casa, primer piso'",CL 107 # 49A - 41,si,
Carrera 51 Carrera 51 #89-22 Referencia: San cayetano,raw.csv,CR 51 # 89 - 22,OK,1.0,descartado: 'carrera 51' | descartado: 'referencia: san cayetano',CR 51 # 89 - 22,si,
Cra 31 # 77 21 a 101 apartamento 101,raw.csv,CR 31 # 77 - 21,OK,0.97,placa sin guion | descartado: 'a 101 apartamento 101',CR 31 # 77 - 21,si,
CL 100B SUR #48CC 25,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100B SUR # 48CC - 25,OK,0.97,placa sin guion,CL 100B SUR # 48CC - 25,si,
cr49c#108-48,raw.csv,CR 49C # 108 - 48,OK,1.0,,CR 49C # 108 - 48,si,
Calle Calle 76 48 a 90 int 301 campo valdes,raw.csv,CL 76 # 48A - 90,OK,0.97,placa sin guion | descartado: 'int 301 campo valdes',CL 76 # 48A - 90,si,
Av. Carrera 70 cra27#70B13-70B13 casa unifamiliar,raw.csv,CR 27 # 70B - 13,PARCIAL,0.97,"varias placas; se toma la primera, resto: 70 | placa sin guion | descartado: 'av. carrera 70' | descartado: 'b13 casa unifamiliar'",,si,
Cr 42D CL 108 A-71( interior 101) Apartamento,raw.csv,CR 42D # 108A - 71,OK,1.0,descartado: 'apartamento' | descartado: '( interior 101)',CR 42D # 108A - 71,si,
Calle 73 Sur Nro. 66 -02,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 73 SUR # 66 - 02,OK,1.0,,CL 73 SUR # 66 - 02,si,
VIA HATILLO BELLO KM 8+100,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Carrera 47 B Carrera 47 B #98-27 Cra 47 B No 98 A 27 Referencia: Cra 47 B No 98 A 27,raw.csv,CR 47B # 98 - 27,PARCIAL,1.0,el texto contiene varias direcciones | descartado: 'carrera 47 b' | descartado: 'cra 47 b no 98 a 27 referencia: cra 47 b no 98 a 27',,si,
Carrera 50A N° 83 - 24 CASA 2° PISO Campo Valdes,raw.csv,CR 50A # 83 - 24,OK,1.0,descartado: 'casa 2 # piso campo valdes',CR 50A # 83 - 24,si,
calle 92 # 43b - 43 int 207 2 piso,raw.csv,CL 92 # 43B - 43,OK,1.0,descartado: 'int 207 2 piso',CL 92 # 43B - 43,si,
Calle 87 Sur Nro. 65 -65 1r piso y 65 -65 -201 2do piso,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 87 SUR # 65 - 65,OK,1.0,descartado: '1r piso y 65 -65 -201 2do piso',CL 87 SUR # 65 - 65,si,
Carrera 50A#81A-57 Barrio campo Valdés,raw.csv,CR 50A # 81A - 57,OK,1.0,descartado: 'barrio campo valdes',CR 50A # 81A - 57,si,
Calle Calle 71a #45-36 Apartamento 401,raw.csv,CL 71A # 45 - 36,OK,1.0,descartado: 'apartamento 401',CL 71A # 45 - 36,si,
CALLE 51 X 53 -71,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 51 # 53 - 71,OK,1.0,,CL 51 # 53 - 71,si,
ruta 6205 km 10 + 100,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
Calle Calle 104 #42 b 34 Piso 1,raw.csv,CL 104 # 42B - 34,OK,0.97,placa sin guion | descartado: 'piso 1',CL 104 # 42B - 34,si,
"Cra. 41a # 79-44, Campo Valdes II, Medellín, Manrique, Medellín, Antioquia piso 2",raw.csv,CR 41A # 79 - 44,OK,1.0,"descartado: 'campo valdes ii, medellin, manrique, medellin, antioquia piso 2'",CR 41A # 79 - 44,si,
Cra 52 #100-13 santa cruz Calle principal fente a la escuela la rosa,raw.csv,CR 52 # 100 - 13,OK,1.0,descartado: 'santa cruz calle principal fente a la escuela la rosa',CR 52 # 100 - 13,si,
CALLE 59 AUTOPISTA,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'autopista',,si,
Carrera 47 #99-21 Primer piso Terminal 042,raw.csv,CR 47 # 99 - 21,OK,1.0,descartado: 'primer piso terminal 042',CR 47 # 99 - 21,si,
CALLE 15 CON CRA 21,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CL 15 X CR 21,PARCIAL,1.0,cruce de vías sin placa,,si,
Carrera 34 #97-32 int 201,raw.csv,CR 34 # 97 - 32,OK,1.0,descartado: 'int 201',CR 34 # 97 - 32,si,
CL 82 SUR #56C 17,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 82 SUR # 56C - 17,OK,0.97,placa sin guion,CL 82 SUR # 56C - 17,si,
CALLE 41 CRA 86,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 41 X CR 86,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle 83 #49-25 ferretería,raw.csv,CL 83 # 49 - 25,OK,1.0,descartado: 'ferreteria',CL 83 # 49 - 25,si,
Carrera Carrera 30#107d03 Santo Domingo parte baja Supermercado llamado los Pérez,raw.csv,CR 30 # 107D - 03,OK,0.97,placa sin guion | descartado: 'santo domingo parte baja supermercado llamado los perez',CR 30 # 107D - 03,si,
Calle 91a#34_02 Casa,raw.csv,CL 91A # 34 - 02,OK,0.97,placa sin guion | descartado: 'casa',CL 91A # 34 - 02,si,
Calle Calle 100 carrera 25 B-46 Interior 201,raw.csv,CL 100 # 25B - 46,OK,1.0,descartado: 'interior 201',CL 100 # 25B - 46,si,
Carrera 47 #85-29 Int. 202,raw.csv,CR 47 # 85 - 29,OK,1.0,descartado: 'int. 202',CR 47 # 85 - 29,si,
Carrera Cra 53 #91-33 Apartamento tercer piso,raw.csv,CR 53 # 91 - 33,OK,1.0,descartado: 'apartamento tercer piso',CR 53 # 91 - 33,si,
CR 50 CL 36,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 50 X CL 36,PARCIAL,1.0,cruce de vías sin placa,,si,
Cra 41 #85-53 Segundo Piso,raw.csv,CR 41 # 85 - 53,OK,1.0,descartado: 'segundo piso',CR 41 # 85 - 53,si,
CR 48 52-09,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 48 # 52 - 09,OK,1.0,,CR 48 # 52 - 09,si,
km 7+700 lavaderos,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CL 12#31 165,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 12 # 31 - 165,OK,0.97,placa sin guion,CL 12 # 31 - 165,si,
"Calle 67#41b19 Casa, interior solar",raw.csv,CL 67 # 41B - 19,OK,0.97,"placa sin guion | descartado: 'casa, interior solar'",CL 67 # 41B - 19,si,
"cll 110 # 32 - 01 santo domingo el cristo, spa uñas classy nails",raw.csv,CL 110 # 32 - 01,OK,1.0,"descartado: 'santo domingo el cristo, spa unas classy nails'",CL 110 # 32 - 01,si,
"Calle 109 n48 a30 Andalucía La Francia casa segundo piso, Antioquia~~~Medellin~~~~~~Calle 109 n48 a30 Andalucía La Francia casa segundo piso",raw.csv,CL 109 # 48A - 30,OK,0.97,placa sin guion | descartado: 'andalucia la francia casa segundo piso',CL 109 # 48A - 30,si,
Calle Calle 101#50-45 Piso 3,raw.csv,CL 101 # 50 - 45,OK,1.0,descartado: 'piso 3',CL 101 # 50 - 45,si,
CR 52A  #79 SUR 08,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 52A # 79 SUR - 08,OK,0.97,placa sin guion,CR 52A # 79 SUR - 08,si,
Carrera Cra. 47 #83a-21,raw.csv,CR 47 # 83A - 21,OK,1.0,,CR 47 # 83A - 21,si,
carrera30#75d-13 apartamento,raw.csv,CR 30 # 75D - 13,OK,1.0,descartado: 'apartamento',CR 30 # 75D - 13,si,
Calle Calle 82b #51-74 301,raw.csv,CL 82B # 51 - 74,OK,1.0,descartado: '301',CL 82B # 51 - 74,si,
CL 77 SUR #61 63 LOCAL 221 C.CIAL VENECIA,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 77 SUR # 61 - 63,OK,0.97,placa sin guion | descartado: 'local 221 c.cial venecia',CL 77 SUR # 61 - 63,si,
"Carrera Aranjuez, Carrera 47 #89-21 Casa, puerta blanca",raw.csv,CR 47 # 89 - 21,OK,0.98,"texto antes de la dirección | descartado: 'carrera aranjuez' | descartado: 'casa, puerta blanca'",CR 47 # 89 - 21,si,
Calle 97 #34 B-38 1 piso,raw.csv,CL 97 # 34B - 38,OK,1.0,descartado: '1 piso',CL 97 # 34B - 38,si,
Cra 46 # 85-38 3 piso,raw.csv,CR 46 # 85 - 38,OK,1.0,descartado: '3 piso',CR 46 # 85 - 38,si,
MEDELLIN BOGOTA KM 6+420,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
CR 50#100 SUR 25,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 100 SUR - 25,OK,0.97,placa sin guion,CR 50 # 100 SUR - 25,si,
Calle 108 #37-28,raw.csv,CL 108 # 37 - 28,OK,1.0,,CL 108 # 37 - 28,si,
"Cra50c #89-19 Edificio, piso 201",raw.csv,CR 50C # 89 - 19,OK,1.0,"descartado: 'edificio, piso 201'",CR 50C # 89 - 19,si,
km 4 + 300 aprox  vereda corrientes,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
"Carrera 40 #120-25 Popular 1, El Rompoy Casa de primer piso (Es en un callejón)",raw.csv,CR 40 # 120 - 25,OK,1.0,"descartado: 'popular 1, el rompoy casa de primer piso' | descartado: '(Es en un callejón)'",CR 40 # 120 - 25,si,
Carrera Carrera 44 #80-35,raw.csv,CR 44 # 80 - 35,OK,1.0,,CR 44 # 80 - 35,si,
CL 75AA SUR #57 33,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 75AA SUR # 57 - 33,OK,0.97,placa sin guion,CL 75AA SUR # 57 - 33,si,
CL 100B SUR #50 163,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100B SUR # 50 - 163,OK,0.97,placa sin guion,CL 100B SUR # 50 - 163,si,
cra 17 con calle 10 #1034,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 17 # 10 - 1034,PARCIAL,0.8,placa '1034' con más de 3 dígitos | marcador '#' antes de la placa,CR 17 X CL 10,si,
CL 100 SUR #49 95 BODEGA 47 PARQUE INDUSTRIAL DEL SUR,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100 SUR # 49 - 95,OK,0.97,placa sin guion | descartado: 'bodega 47 parque industrial del sur',CL 100 SUR # 49 - 95,si,
"Calle 93 #49A 17, Torre 1 apto 106",raw.csv,CL 93 # 49A - 17,OK,0.97,placa sin guion | descartado: 'torre 1 apto 106',CL 93 # 49A - 17,si,
CR 100#25C 11 BODEGA 03 BOGOTA,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 100 # 25C - 11,OK,0.97,placa sin guion | descartado: 'bodega 03 bogota',CR 100 # 25C - 11,si,
Carrera 36 B #81-23,raw.csv,CR 36B # 81 - 23,OK,1.0,,CR 36B # 81 - 23,si,
Aranjuez Calle 87A #50AA-71 Primer piso,raw.csv,CL 87A # 50AA - 71,OK,0.98,texto antes de la dirección | descartado: 'aranjuez' | descartado: 'primer piso',CL 87A # 50AA - 71,si,
Calle 38A sur 43 46,datos.gov.co/7nv5-fy9z (Sedes administrativas Envigado),CL 38A SUR # 43 - 46,OK,0.97,placa sin guion,CL 38A SUR # 43 - 46,si,
CLL 50 CON 54 P IMUSA,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50 X CR 54,PARCIAL,1.0,cruce de vías sin placa | descartado: 'p imusa',CL 50 X CR 54P,si,
Calle Calle 68B 30 35 Casa,raw.csv,CL 68B # 30 - 35,OK,0.97,placa sin guion | descartado: 'casa',CL 68B # 30 - 35,si,
VEREDA LA CRUZ,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Carrera Cra 50 #91-28 Apt 401,raw.csv,CR 50 # 91 - 28,OK,1.0,descartado: 'apt 401',CR 50 # 91 - 28,si,
Calle Calle 109#46-61 Casa piso 2,raw.csv,CL 109 # 46 - 61,OK,1.0,descartado: 'casa piso 2',CL 109 # 46 - 61,si,
carrera 47 numero 85-154 tercer piso,raw.csv,CR 47 # 85 - 154,OK,1.0,descartado: 'tercer piso',CR 47 # 85 - 154,si,
Calle Calle 82#3919 Casa,raw.csv,CL 82 # 39 - 19,OK,0.92,números pegados '3919' separados como 39-19 | descartado: 'casa',CL 82 # 39 - 19,si,
Calle 102 A carrera 22 d 30 interior 201 Apartamento,raw.csv,CL 102A # 22D - 30,OK,0.97,placa sin guion | descartado: 'interior 201 apartamento',CL 102A # 22D - 30,si,
Carrera Carrera 47 numero 106-80 Callejon hasta el fondo,raw.csv,CR 47 # 106 - 80,OK,1.0,descartado: 'callejon hasta el fondo',CR 47 # 106 - 80,si,
VIA 6205 + KILOMETRO 9,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
"Carrera Carrera 34 #71A - 08 Apartamento 201, Manrique oriental",raw.csv,CR 34 # 71A - 08,OK,1.0,"descartado: 'apartamento 201, manrique oriental'",CR 34 # 71A - 08,si,
"Carrera 41# 67-04 Manrique central, primer piso",raw.csv,CR 41 # 67 - 04,OK,1.0,"descartado: 'manrique central, primer piso'",CR 41 # 67 - 04,si,
Calle Calle 75c3626 Taller cooper,raw.csv,CL 75C # 36 - 26,OK,0.92,números pegados '3626' separados como 36-26 | descartado: 'taller cooper',CL 75C # 36 - 26,si,
AUTOPISTA NORTE CL 59 KM 7+880,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59,PARCIAL,0.98,"contiene indicios rurales (km, vereda, finca) | dirección sin cruce ni placa | texto antes de la dirección | descartado: 'autopista norte' | descartado: 'km 7+880'",,si,
Calle 102B 30-17,raw.csv,CL 102B # 30 - 17,OK,1.0,,CL 102B # 30 - 17,si,
CL 23 SUR 2 70,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CL 23 SUR # 2 - 70,OK,0.97,placa sin guion,CL 23 SUR # 2 - 70,si,
CALLE 50 CON FRENTE #39-120,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente #39-120',CL 50 # 39 – 120,si,
"51 A #67A - 41, Casa segundo piso",raw.csv,,FALLO,0.0,,,si,
CR 50#96 SUR 48,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 96 SUR - 48,OK,0.97,placa sin guion,CR 50 # 96 SUR - 48,si,
vereda la primavera km 21+950  bello-hatillo,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CL 59 55-80 KM 13 AUTOPISTA NORTE,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59 # 55 - 80,PARCIAL,1.0,"contiene indicios rurales (km, vereda, finca) | descartado: 'km 13 autopista norte'",,si,
Calle 100 #51 a 53 Piso 1,raw.csv,CL 100 # 51A - 53,OK,0.97,placa sin guion | descartado: 'piso 1',CL 100 # 51A - 53,si,
Cr48 #94-56 3 piso,raw.csv,CR 48 # 94 - 56,OK,1.0,descartado: '3 piso',CR 48 # 94 - 56,si,
Calle Calle 97 #45A59 Cas,raw.csv,CL 97 # 45A - 59,OK,0.97,placa sin guion | descartado: 'cas',CL 97 # 45A - 59,si,
Av. Carrera 51B #123A-24 barrio Playón de los comuneros,raw.csv,CR 51B # 123A - 24,OK,1.0,descartado: 'barrio playon de los comuneros',CR 51B # 123A - 24,si,
KM 17 ALTO LAS PALMAS  VÍA A LA ACUARELA,datos.gov.co/g8hy-gwg8 (Instituciones educativas Envigado),,FALLO,0.0,,,si,
DG 51#15A 161,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),DG 51 # 15A - 161,OK,0.97,placa sin guion,DG 51 # 15A - 161,si,
Carrera Carrera 28f # 111-9,raw.csv,CR 28F # 111 - 09,OK,0.98,placa de un dígito completada con cero,CR 28F # 111 - 09,si,
carrera 42 c#107 a 23 popular número 1,raw.csv,CR 42C # 107A - 23,OK,0.97,placa sin guion | descartado: 'popular numero 1',CR 42C # 107A - 23,si,
CL 86B SUR #52B 02 BODEGA 130,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 86B SUR # 52B - 02,OK,0.97,placa sin guion | descartado: 'bodega 130',CL 86B SUR # 52B - 02,si,
Calle 79 #48a-87,raw.csv,CL 79 # 48A - 87,OK,1.0,,CL 79 # 48A - 87,si,
Carrera 48a # 83-64 tercer piso barrio campo Valdez favor llamar para la entrega timbre malo,raw.csv,CR 48A # 83 - 64,OK,1.0,descartado: 'tercer piso barrio campo valdez favor llamar para la entrega timbre malo',CR 48A # 83 - 64,si,
Carrera 51 # 96-118 Piso 2 Aranjuez,raw.csv,CR 51 # 96 - 118,OK,1.0,descartado: 'piso 2 aranjuez',CR 51 # 96 - 118,si,
CL 45 SUR NRO. 42D 6,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CL 45 SUR # 42D - 06,OK,0.95,placa sin guion | placa de un dígito completada con cero,CL 45 SUR # 42D - 06,si,
CR 50#100B SUR 60,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 100B SUR - 60,OK,0.97,placa sin guion,CR 50 # 100B SUR - 60,si,
Carrera 42B #121-06 interior 132 barrio popular 1,raw.csv,CR 42B # 121 - 06,OK,1.0,descartado: 'interior 132 barrio popular 1',CR 42B # 121 - 06,si,
Carrera 28f #111-19 piso,raw.csv,CR 28F # 111 - 19,OK,1.0,descartado: 'piso',CR 28F # 111 - 19,si,
C-l 99 a cr 5218 int 201 Apt 201,raw.csv,CR 52 # 18,PARCIAL,0.9,dirección sin placa | texto antes de la dirección | números pegados '5218' separados como 52-18 | descartado: 'c-l 99 a' | descartado: 'int 201 apt 201',CL 99 # 52 – 18,si,
Carrera Cr 24c Carrera Cr 24c #93-45 Referencia: al lado del surtimax de la y de carambolas cr 24 c 93 47 ap 301,raw.csv,CR 24C # 93 - 45,PARCIAL,1.0,el texto contiene varias direcciones | descartado: 'carrera cr 24c' | descartado: 'referencia: al lado del surtimax de la y de carambolas cr 24 c 93 47 ap 301',,si,
Carrera 55 # 89 a 15 Frente a droguería alamos 1,raw.csv,CR 55 # 89A - 15,OK,0.97,placa sin guion | descartado: 'frente a drogueria alamos 1',CR 55 # 89A - 15,si,
carrera 46 A # 110-108 casa,raw.csv,CR 46A # 110 - 108,OK,1.0,descartado: 'casa',CR 46A # 110 - 108,si,
CL 53 FRENTE AL 51-55,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 53,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente al 51-55',CL 53 # 51 – 55,si,
cra 43b calle 111A 38 popular 2 cerca a la biblioteca fé y alegría escuelita,raw.csv,CR 43B # 111A - 38,OK,0.97,placa sin guion | descartado: 'popular 2 cerca a la biblioteca fe y alegria escuelita',CR 43B # 111A - 38,si,
Calle 49 Sur 48 28,datos.gov.co/7nv5-fy9z (Sedes administrativas Envigado),CL 49 SUR # 48 - 28,OK,0.97,placa sin guion,CL 49 SUR # 48 - 28,si,
CR 58#42 125 SOTANO 2,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 58 # 42 - 125,OK,0.97,placa sin guion | descartado: 'sotano 2',CR 58 # 42 - 125,si,
Carrera Cr44a#88-28 Interior tercer piso,raw.csv,CR 44A # 88 - 28,OK,1.0,descartado: 'interior tercer piso',CR 44A # 88 - 28,si,
CR 51#97 SUR 137,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 51 # 97 SUR - 137,OK,0.97,placa sin guion,CR 51 # 97 SUR - 137,si,
CALLE 50 CRA 16,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50 X CR 16,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle CLL 104b # 44 a 65 Casa primer piso,raw.csv,CL 104B # 44A - 65,OK,0.97,placa sin guion | descartado: 'casa primer piso',CL 104B # 44A - 65,si,
cll97#24c93,raw.csv,CL 97 # 24C - 93,OK,0.97,placa sin guion,CL 97 # 24C - 93,si,
CR 25#3 45 OF 9940,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 25 # 3 - 45,OK,0.97,placa sin guion | descartado: 'of 9940',CR 25 # 3 - 45,si,
CL 87 SUR #52 04,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 87 SUR # 52 - 04,OK,0.97,placa sin guion,CL 87 SUR # 52 - 04,si,
CL 95 SUR #57 251 PUEBLO VIEJO,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 95 SUR # 57 - 251,OK,0.97,placa sin guion | descartado: 'pueblo viejo',CL 95 SUR # 57 - 251,si,
Carrera 48 #87-24 Por favor llamar al numero 3000000000 y 3000000000,raw.csv,CR 48 # 87 - 24,OK,1.0,descartado: 'por favor llamar al numero y' | descartado: '3000000000' | descartado: '3000000000',CR 48 # 87 - 24,si,
Calle 101 #50c-140 primer piso,raw.csv,CL 101 # 50C - 140,OK,1.0,descartado: 'primer piso',CL 101 # 50C - 140,si,
Calle 120 48c- 81 Apto 302,raw.csv,CL 120 # 48C - 81,OK,1.0,descartado: 'apto 302',CL 120 # 48C - 81,si,
CR 43A#7 50 OFIC 507,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 43A # 7 - 50,OK,0.97,placa sin guion | descartado: 'ofic 507',CR 43A # 7 - 50,si,
"calle 82 # 39-08, Antioquia~~~Medellin~~~~~~calle 82 # 39-08",raw.csv,CL 82 # 39 - 08,OK,1.0,,CL 82 # 39 - 08,si,
CR 45#69 SUR 25 LOCAL 137 SABANETA,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 45 # 69 SUR - 25,OK,0.97,placa sin guion | descartado: 'local 137 sabaneta',CR 45 # 69 SUR - 25,si,
